ts,case_id,actor,action,reasoning
2026-08-30T12:54:01.412Z,case_1_0,vasooli,honor_opt_out,"Customer previously opted out / opted out on contact — no further action."
2026-08-30T12:54:01.420Z,case_3_6,vasooli,no_recovery,"Diagnosed=insufficient_funds (true=insufficient_funds); voice_call; p=0.60; promise kept."
2026-08-30T12:54:01.420Z,case_4_0,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_4_1,vasooli,no_recovery,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; exhausted→exception."
2026-08-30T12:54:01.420Z,case_4_2,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_4_3,vasooli,recovered,"Diagnosed=unknown (true=bank_downtime); voice_call; p=0.55; link paid."
2026-08-30T12:54:01.420Z,case_4_4,vasooli,no_recovery,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; exhausted→exception."
2026-08-30T12:54:01.420Z,case_4_5,vasooli,no_recovery,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; exhausted→exception."
2026-08-30T12:54:01.420Z,case_4_6,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_5_0,vasooli,no_recovery,"Diagnosed=unknown (true=network_drop); voice_call; p=0.20; exhausted→exception."
2026-08-30T12:54:01.420Z,case_5_1,vasooli,no_recovery,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; exhausted→exception."
2026-08-30T12:54:01.420Z,case_5_2,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_5_3,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_5_4,vasooli,no_recovery,"Diagnosed=insufficient_funds (true=insufficient_funds); voice_call; p=0.60; promise kept."
2026-08-30T12:54:01.420Z,case_5_5,vasooli,recovered,"Diagnosed=network_drop (true=network_drop); whatsapp_nudge; p=0.55; link paid."
2026-08-30T12:54:01.420Z,case_5_6,vasooli,recovered,"Diagnosed=unknown (true=unknown); voice_call; p=0.38; link paid."
2026-08-30T12:54:01.420Z,case_6_0,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_6_1,vasooli,no_recovery,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; exhausted→exception."
2026-08-30T12:54:01.420Z,case_6_2,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_6_3,vasooli,recovered,"Diagnosed=network_drop (true=network_drop); whatsapp_nudge; p=0.65; link paid."
2026-08-30T12:54:01.420Z,case_6_4,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_6_5,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_6_6,vasooli,recovered,"Diagnosed=network_drop (true=unknown); whatsapp_nudge; p=0.15; link paid."
2026-08-30T12:54:01.420Z,case_7_0,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_7_1,vasooli,recovered,"Diagnosed=insufficient_funds (true=insufficient_funds); voice_call; p=0.60; link paid."
2026-08-30T12:54:01.420Z,case_7_2,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_7_3,vasooli,recovered,"Diagnosed=insufficient_funds (true=insufficient_funds); voice_call; p=0.60; link paid."
2026-08-30T12:54:01.420Z,case_7_4,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_7_5,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_7_6,vasooli,recovered,"Diagnosed=network_drop (true=network_drop); whatsapp_nudge; p=0.65; link paid."
2026-08-30T12:54:01.420Z,case_8_0,vasooli,no_recovery,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; exhausted→exception."
2026-08-30T12:54:01.420Z,case_8_1,vasooli,no_recovery,"Diagnosed=insufficient_funds (true=insufficient_funds); voice_call; p=0.60; exhausted→exception."
2026-08-30T12:54:01.420Z,case_8_2,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_8_3,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_8_4,vasooli,no_recovery,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; exhausted→exception."
2026-08-30T12:54:01.420Z,case_8_5,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_8_6,vasooli,no_recovery,"Diagnosed=unknown (true=insufficient_funds); voice_call; p=0.30; promise kept."
2026-08-30T12:54:01.420Z,case_9_0,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_9_1,vasooli,no_recovery,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; exhausted→exception."
2026-08-30T12:54:01.420Z,case_9_2,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_9_3,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_9_4,vasooli,recovered,"Diagnosed=unknown (true=bank_downtime); voice_call; p=0.55; link paid."
2026-08-30T12:54:01.420Z,case_9_5,vasooli,recovered,"Diagnosed=insufficient_funds (true=insufficient_funds); whatsapp_nudge; p=0.60; link paid."
2026-08-30T12:54:01.420Z,case_9_6,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_10_0,vasooli,no_recovery,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; exhausted→exception."
2026-08-30T12:54:01.420Z,case_10_1,vasooli,recovered,"Diagnosed=insufficient_funds (true=insufficient_funds); whatsapp_nudge; p=0.60; link paid."
2026-08-30T12:54:01.420Z,case_10_2,vasooli,no_recovery,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; exhausted→exception."
2026-08-30T12:54:01.420Z,case_10_3,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_10_4,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_10_5,vasooli,no_recovery,"Diagnosed=network_drop (true=network_drop); whatsapp_nudge; p=0.65; exhausted→exception."
2026-08-30T12:54:01.420Z,case_10_6,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_11_0,vasooli,no_recovery,"Diagnosed=unknown (true=unknown); voice_call; p=0.38; exhausted→exception."
2026-08-30T12:54:01.420Z,case_11_1,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_11_2,vasooli,no_recovery,"Diagnosed=unknown (true=bank_downtime); voice_call; p=0.55; promise kept."
2026-08-30T12:54:01.420Z,case_11_3,vasooli,recovered,"Diagnosed=insufficient_funds (true=insufficient_funds); whatsapp_nudge; p=0.60; link paid."
2026-08-30T12:54:01.420Z,case_11_4,vasooli,no_recovery,"Diagnosed=network_drop (true=network_drop); whatsapp_nudge; p=0.55; exhausted→exception."
2026-08-30T12:54:01.420Z,case_11_5,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_11_6,vasooli,no_recovery,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; exhausted→exception."
2026-08-30T12:54:01.420Z,case_12_0,vasooli,no_recovery,"Diagnosed=unknown (true=auth_failure); voice_call; p=0.25; exhausted→exception."
2026-08-30T12:54:01.420Z,case_12_1,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_12_2,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_12_3,vasooli,no_recovery,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; exhausted→exception."
2026-08-30T12:54:01.420Z,case_12_4,vasooli,no_recovery,"Diagnosed=insufficient_funds (true=insufficient_funds); voice_call; p=0.60; promise kept."
2026-08-30T12:54:01.420Z,case_12_5,vasooli,recovered,"Diagnosed=insufficient_funds (true=insufficient_funds); whatsapp_nudge; p=0.60; link paid."
2026-08-30T12:54:01.420Z,case_12_6,vasooli,recovered,"Diagnosed=insufficient_funds (true=insufficient_funds); voice_call; p=0.60; link paid."
2026-08-30T12:54:01.420Z,case_13_0,vasooli,no_recovery,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; exhausted→exception."
2026-08-30T12:54:01.420Z,case_13_1,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_13_2,vasooli,no_recovery,"Diagnosed=insufficient_funds (true=insufficient_funds); whatsapp_nudge; p=0.60; exhausted→exception."
2026-08-30T12:54:01.420Z,case_13_3,vasooli,recovered,"Diagnosed=insufficient_funds (true=insufficient_funds); voice_call; p=0.60; link paid."
2026-08-30T12:54:01.420Z,case_13_4,vasooli,recovered,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; link paid."
2026-08-30T12:54:01.420Z,case_13_5,vasooli,recovered,"Diagnosed=insufficient_funds (true=insufficient_funds); whatsapp_nudge; p=0.60; link paid."
2026-08-30T12:54:01.420Z,case_13_6,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_14_0,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_14_1,vasooli,no_recovery,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; exhausted→exception."
2026-08-30T12:54:01.420Z,case_14_2,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_14_3,vasooli,no_recovery,"Diagnosed=unknown (true=network_drop); voice_call; p=0.10; promise kept."
2026-08-30T12:54:01.420Z,case_14_4,vasooli,no_recovery,"Diagnosed=unknown (true=unknown); voice_call; p=0.38; exhausted→exception."
2026-08-30T12:54:01.420Z,case_14_5,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_14_6,vasooli,recovered,"Diagnosed=network_drop (true=network_drop); whatsapp_nudge; p=0.65; link paid."
2026-08-30T12:54:01.420Z,case_15_0,vasooli,no_recovery,"Diagnosed=auth_failure (true=auth_failure); whatsapp_nudge; p=0.62; exhausted→exception."
2026-08-30T12:54:01.420Z,case_15_1,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_15_2,vasooli,recovered,"Diagnosed=bank_downtime (true=bank_downtime); retry_only; p=0.72; link paid."
2026-08-30T12:54:01.420Z,case_15_3,vasooli,no_recovery,"Diagnosed=network_drop (true=network_drop); whatsapp_nudge; p=0.65; exhausted→exception."
2026-08-30T12:54:01.420Z,case_15_4,vasooli,no_recovery,"Diagnosed=unknown (true=bank_downtime); voice_call; p=0.55; promise kept."
2026-08-30T12:54:01.420Z,case_15_5,vasooli,no_recovery,"Diagnosed=network_drop (true=network_drop); whatsapp_nudge; p=0.55; exhausted→exception."
2026-08-30T12:54:01.420Z,case_15_6,vasooli,recovered,"Diagnosed=insufficient_funds (true=insufficient_funds); whatsapp_nudge; p=0.60; link paid."
